kind,hidden,trial,generation,prince,king,crowned,p10,median,p90,fell,mother,starved,nobles,read,fitness,rivals_crowned
told+recall+journal,32,1,110,24.8,18.4,13.8,17,21,27,78.0,47.2,888,+2.3,15.6,271.4,11.3
told+recall+journal,32,1,120,29.6,23.8,15.6,18,22,28,78.4,51.0,963,+1.5,19.6,307.4,11.3
told+recall+journal,32,1,130,36.2,24.2,18.2,19,22,28,71.6,42.4,1040,+3.9,14.3,349.2,11.2
told+recall+journal,32,1,140,25.6,19.8,13.8,17,23,31,78.8,59.6,1084,+1.1,10.8,270.7,11.2
told+recall+journal,32,1,150,24.2,16.0,12.0,18,23,33,78.8,54.8,1036,+2.5,10.5,243.4,11.0
told+recall+journal,32,1,160,39.0,26.2,21.2,16,22,34,69.2,49.4,1008,+7.4,10.3,387.7,10.2
told+recall+journal,32,1,170,41.0,34.6,31.0,17,22,29,57.2,32.8,725,+6.1,4.7,517.1,9.9
told+recall+journal,32,1,180,34.2,23.8,19.8,18,21,30,71.4,53.8,1094,+8.3,10.3,360.1,9.9
told+recall+journal,32,1,190,32.2,22.8,19.0,18,23,32,73.4,59.2,1085,+5.6,10.2,338.2,9.7
told+recall+journal,32,1,200,36.0,17.6,15.0,18,22,28,73.8,53.8,1123,+4.3,10.3,302.9,11.6
told+recall+journal,32,1,210,31.8,27.2,18.2,17,20,26,74.4,59.0,1010,+4.3,11.4,347.9,10.6
told+recall+journal,32,1,220,44.2,34.2,29.8,16,20,26,61.6,45.6,811,+10.0,13.9,514.5,9.1
told+recall+journal,32,1,230,35.0,30.2,24.6,16,20,27,65.8,47.6,809,+6.7,9.5,427.6,10.8
told+recall+journal,32,1,240,40.2,34.4,29.4,18,21,30,59.4,39.2,793,+10.1,15.6,496.9,9.2
told+recall+journal,32,1,250,35.2,28.8,23.0,17,20,26,69.8,50.6,872,+5.2,9.8,411.7,10.3
told+recall+journal,32,1,260,41.6,33.0,24.2,15,19,24,67.0,45.2,912,+5.3,11.8,449.2,10.9
